ticker,binomial_passed,independence_simple_passed,kupiec_passed,christoffersen_independence_passed,christoffersen_conditional_passed
A,false,false,true,false,false
AAPL,false,true,false,true,true
ABT,false,true,false,true,false
ACGL,false,false,true,false,false
ACN,false,false,false,false,false
ADBE,true,true,true,true,true
ADI,true,true,true,true,true
ADM,false,true,false,true,false
ADP,false,true,false,true,false
ADSK,true,true,true,true,true
AEE,false,false,false,false,false
AEP,true,false,true,false,false
AES,true,true,true,true,true
AFL,false,false,false,false,false
AIG,false,false,false,false,false
AIZ,true,true,true,true,true
AJG,true,false,true,false,false
AKAM,true,true,true,true,true
ALB,false,true,false,true,false
ALGN,true,true,true,true,true
ALL,false,false,false,false,false
AMAT,false,true,false,true,false
AMD,false,true,false,true,false
AME,false,false,false,false,false
AMGN,true,true,true,true,true
AMP,false,false,false,false,false
AMT,false,false,false,false,false
AMZN,true,true,true,true,true
AON,false,true,false,true,false
AOS,true,true,true,true,true
APA,false,false,false,false,false
APD,false,false,false,false,false
APH,true,false,true,false,false
ARE,false,true,false,true,false
ATO,false,true,false,true,false
AVB,false,false,false,false,false
AVGO,true,true,true,true,true
AVY,true,false,true,false,false
AWK,false,false,false,false,false
AXON,true,true,true,true,true
AXP,true,false,true,false,false
AZO,false,true,false,true,false
BA,false,false,false,false,false
BAC,false,false,false,false,false
BALL,false,false,true,false,false
BAX,false,true,false,true,false
BBY,false,true,true,true,true
BDX,false,true,false,true,false
BEN,false,true,false,true,false
BG,false,true,true,true,true
BIIB,true,true,true,true,true
BK,true,false,true,false,false
BKNG,true,true,true,true,true
BKR,true,true,true,true,true
BLDR,true,false,true,false,true
BLK,false,false,false,false,false
BMY,false,false,true,false,false
BR,false,true,false,true,false
BRO,false,true,false,true,false
BSX,false,true,false,true,true
BX,false,false,false,false,false
BXP,true,true,true,true,true
C,false,false,false,false,false
CAG,true,true,true,true,true
CAH,true,true,true,true,true
CAT,false,true,false,true,false
CB,false,true,false,true,false
CBRE,false,false,false,false,false
CCI,true,true,true,true,true
CCL,false,true,false,true,false
CDNS,true,true,true,true,true
CF,true,true,true,true,true
CHD,false,false,false,false,false
CHRW,true,true,true,true,true
CHTR,true,true,true,true,true
CI,true,true,true,true,true
CINF,false,false,true,false,false
CL,false,false,false,false,false
CLX,true,true,true,true,true
CMCSA,false,true,false,true,false
CME,false,false,false,false,false
CMG,true,false,true,false,false
CMI,false,true,false,true,false
CMS,false,false,false,false,false
CNC,false,true,false,true,false
CNP,false,false,false,false,false
COF,true,false,true,false,false
COO,true,false,true,false,false
COP,false,true,false,true,false
COR,false,true,false,true,false
COST,true,true,true,true,true
