ticker,binomial_passed,independence_simple_passed,kupiec_passed,christoffersen_independence_passed,christoffersen_conditional_passed
A,true,false,true,false,false
AAPL,false,false,false,false,false
ABT,true,false,true,false,false
ACGL,true,false,true,false,false
ACN,false,false,false,false,false
ADBE,true,false,true,false,false
ADI,true,true,true,true,true
ADM,true,false,true,false,false
ADP,true,false,true,false,false
ADSK,true,false,true,false,false
AEE,true,false,true,false,false
AEP,true,false,true,false,false
AES,true,false,true,false,false
AFL,true,false,true,false,false
AIG,true,false,true,false,false
AIZ,true,false,true,false,false
AJG,true,false,true,false,false
AKAM,true,false,true,false,false
ALB,true,false,true,false,false
ALGN,true,false,true,false,false
ALL,true,false,true,false,false
AMAT,false,false,false,false,false
AMD,true,true,true,true,true
AME,true,false,true,false,false
AMGN,true,false,true,false,true
AMP,true,false,true,false,false
AMT,true,false,true,false,false
AMZN,true,false,true,false,false
AON,true,false,true,false,false
AOS,true,false,true,false,false
APA,true,false,true,false,false
APD,true,false,true,false,false
APH,true,false,true,false,false
ARE,true,false,true,false,false
ATO,true,false,true,false,false
AVB,true,false,true,false,false
AVGO,false,false,false,false,false
AVY,true,false,true,false,false
AWK,true,false,true,false,false
AXON,true,true,true,true,true
AXP,true,false,true,false,false
AZO,true,true,true,true,true
BA,true,false,true,false,false
BAC,true,false,true,false,false
BALL,true,false,true,false,false
BAX,true,false,true,false,false
BBY,true,false,true,false,false
BDX,true,false,true,false,false
BEN,true,false,true,false,false
BG,true,true,true,true,true
BIIB,true,false,true,false,false
BK,true,false,true,false,false
BKNG,true,false,true,false,false
BKR,true,false,true,false,false
BLDR,true,false,true,false,false
BLK,true,false,true,false,false
BMY,true,false,true,false,false
BR,true,false,true,false,false
BRO,true,false,true,false,false
BSX,true,false,true,false,false
BX,true,false,true,false,false
BXP,true,false,true,false,false
C,true,false,true,false,false
CAG,true,false,true,false,false
CAH,true,false,true,false,false
CAT,true,true,true,true,true
CB,true,false,true,false,false
CBRE,true,false,true,false,false
CCI,true,false,true,false,false
CCL,true,false,true,false,false
CDNS,true,false,true,false,false
CF,true,false,true,false,false
CHD,true,false,true,false,false
CHRW,true,true,true,true,true
CHTR,true,false,true,false,false
CI,true,false,true,false,false
CINF,true,false,true,false,false
CL,false,false,false,false,false
CLX,false,false,false,false,false
CMCSA,true,false,true,false,true
CME,true,true,true,true,true
CMG,true,false,true,false,false
CMI,true,false,true,false,false
CMS,true,false,true,false,false
CNC,true,false,true,false,false
CNP,true,false,true,false,false
COF,true,false,true,false,false
COO,true,false,true,false,false
COP,true,false,true,false,false
COR,true,false,true,false,false
COST,true,false,true,false,false
CPB,true,true,true,true,true
CPRT,true,false,true,false,false
CPT,true,false,true,false,false
CRL,true,false,true,false,false
CRM,true,false,true,false,false
CSCO,true,false,true,false,false
CSGP,true,false,true,false,false
CSX,true,false,true,false,false
CTAS,true,false,true,false,false
CTRA,true,true,true,false,true
CTSH,true,false,true,false,false
CVS,true,true,true,true,true
CVX,true,false,true,false,false
D,true,false,true,false,false
DAL,true,false,true,false,false
DD,true,false,true,false,false
DE,true,false,true,false,false
DECK,true,true,true,true,true
DG,true,true,true,true,true
DGX,true,false,true,false,false
DHI,true,false,true,false,false
DHR,true,false,true,false,false
DIS,true,false,true,false,false
DLR,true,false,true,false,false
DLTR,true,false,true,false,false
DOC,true,false,true,false,false
DOV,true,false,true,false,false
DPZ,true,false,true,false,false
DRI,true,true,true,true,true
DTE,true,false,true,false,false
DUK,true,false,true,false,false
DVA,false,false,false,false,false
DVN,false,false,false,false,false
DXCM,true,false,true,false,false
EA,true,false,true,false,false
EBAY,true,true,true,true,true
ECL,true,false,true,false,false
ED,true,false,true,false,true
EFX,false,false,false,false,false
EG,true,false,true,false,false
EIX,true,false,true,false,false
EL,true,false,true,false,false
ELV,true,false,true,false,false
EMN,true,true,true,true,true
EMR,true,false,true,false,false
